Date;Temperature
14/10/2018 05:00;292.25
24/10/2018 20:00;289.85
25/10/2018 11:00;285.95
29/10/2018 01:00;278.25
18/11/2018 01:00;281.65
10/11/2018 13:00;285.95
12/11/2018 07:00;284.55
13/11/2018 10:00;283.35
15/12/2018 16:00;281.65
04/12/2018 07:00;286.45
29/12/2018 22:00;273.05
20/12/2018 16:00;286.25
18/11/2018 13:00;287.95
26/12/2018 10:00;278.05
24/12/2018 10:00;283.95
23/11/2018 01:00;282.15
23/11/2018 10:00;282.45
23/11/2018 13:00;283.25
16/12/2018 22:00;282.25
17/12/2018 16:00;285.35
28/01/2018 07:00;273.35
03/02/2018 22:00;277.95
31/01/2018 22:00;281.85
30/01/2018 07:00;281.15
05/02/2018 19:00;275.65
06/02/2018 22:00;273.05
08/04/2018 23:00;284.25
30/03/2018 20:00;284.75
01/04/2018 23:00;285.25
11/04/2018 17:00;287.85
07/04/2018 05:00;285.55
07/04/2018 23:00;284.65
19/05/2018 23:00;289.95
21/05/2018 20:00;295.95
22/05/2018 02:00;289.45
24/05/2018 23:00;293.65
07/05/2018 05:00;287.65
07/05/2018 23:00;290.35
11/05/2018 02:00;282.35
02/01/2018 10:00;283.25
26/03/2018 02:00;281.95
27/03/2018 05:00;281.95
15/03/2018 01:00;283.85
05/06/2018 14:00;291.15
28/05/2018 20:00;293.35
29/05/2018 08:00;289.35
30/05/2018 20:00;294.15
04/06/2018 02:00;291.15
08/06/2018 20:00;298.75
26/05/2018 05:00;290.55
24/08/2018 05:00;291.55
12/08/2018 14:00;304.75
20/08/2018 08:00;287.75
22/08/2018 20:00;302.75
12/08/2018 23:00;295.35
18/01/2018 16:00;284.75
06/03/2018 13:00;286.35
07/03/2018 13:00;284.85
04/03/2018 01:00;283.45
12/03/2018 22:00;281.15
13/03/2018 22:00;281.75
08/03/2018 04:00;276.45
11/03/2018 01:00;285.45
21/06/2018 14:00;300.85
18/06/2018 11:00;291.15
03/07/2018 05:00;291.05
22/07/2018 17:00;298.95
28/07/2018 11:00;293.65
01/08/2018 20:00;300.65
24/07/2018 23:00;295.35
16/02/2018 19:00;285.55
21/02/2018 19:00;278.65
18/02/2018 04:00;274.85
18/04/2018 05:00;283.75
03/05/2018 23:00;283.75
05/05/2018 11:00;290.35
28/04/2018 08:00;282.35
02/05/2018 23:00;284.05
03/05/2018 05:00;284.25
30/04/2018 02:00;283.15
13/07/2018 17:00;302.85
06/07/2018 17:00;297.85
07/07/2018 05:00;288.75
05/07/2018 11:00;292.15
20/07/2018 11:00;296.55
21/10/2018 23:00;287.65
23/10/2018 05:00;284.95
28/10/2018 19:00;277.55
10/12/2018 07:00;278.85
04/12/2018 01:00;287.55
02/12/2018 19:00;286.05
30/12/2018 07:00;273.75
29/12/2018 10:00;273.15
29/09/2018 23:00;290.15
03/11/2018 16:00;286.55
01/11/2018 13:00;287.75
02/11/2018 13:00;286.15
03/11/2018 07:00;276.05
09/11/2018 22:00;285.65
01/09/2018 20:00;298.95
02/09/2018 02:00;290.65
12/09/2018 20:00;298.95
13/09/2018 11:00;294.15
09/09/2018 08:00;292.15
04/09/2018 23:00;293.35
25/09/2018 02:00;285.65
24/11/2018 19:00;282.55
25/11/2018 22:00;278.55
23/11/2018 07:00;281.85
22/12/2018 22:00;286.85
13/12/2018 07:00;280.05
13/12/2018 19:00;280.45
20/12/2018 07:00;282.05
12/12/2018 04:00;274.45
12/06/2018 17:00;292.25
15/06/2018 11:00;289.35
16/06/2018 02:00;286.05
09/06/2018 14:00;293.05
10/06/2018 08:00;290.55
17/01/2018 04:00;282.65
21/01/2018 13:00;286.65
22/04/2018 05:00;289.75
26/04/2018 11:00;288.75
27/04/2018 05:00;280.25
28/04/2018 02:00;281.25
15/04/2018 08:00;283.15
01/08/2018 05:00;291.65
26/07/2018 02:00;293.85
17/07/2018 02:00;292.55
10/05/2018 20:00;290.15
11/05/2018 14:00;296.95
12/05/2018 11:00;286.15
05/05/2018 20:00;296.75
04/05/2018 05:00;280.65
14/05/2018 17:00;288.05
30/01/2018 19:00;283.15
29/01/2018 16:00;280.25
20/05/2018 23:00;291.05
30/05/2018 08:00;288.25
30/05/2018 11:00;292.35
27/05/2018 14:00;294.85
19/05/2018 02:00;288.25
31/03/2018 05:00;279.95
10/04/2018 23:00;281.65
03/04/2018 11:00;288.65
24/08/2018 14:00;295.55
25/08/2018 08:00;287.05
18/08/2018 14:00;298.85
18/08/2018 20:00;298.45
28/02/2018 19:00;275.85
01/03/2018 10:00;281.65
26/02/2018 22:00;272.25
03/03/2018 19:00;286.75
07/07/2018 02:00;290.55
07/07/2018 11:00;298.35
04/07/2018 20:00;290.45
21/02/2018 07:00;277.25
13/02/2018 01:00;272.45
14/02/2018 04:00;276.45
12/02/2018 13:00;280.65
25/02/2018 01:00;273.85
19/02/2018 13:00;282.65
16/08/2018 11:00;299.85
07/08/2018 17:00;297.45
05/08/2018 23:00;301.25
02/08/2018 23:00;299.45
08/08/2018 23:00;294.95
09/08/2018 05:00;291.55
09/08/2018 20:00;294.45
04/12/2018 19:00;285.95
11/12/2018 22:00;276.95
27/10/2018 23:00;278.95
30/10/2018 10:00;279.15
02/11/2018 07:00;283.35
02/11/2018 19:00;283.35
06/10/2018 23:00;286.95
